method,instance,runs,cost_mean,cost_std,runtime_mean
ga,hfvrp_n100_m20_s05,48,45278.6059,23433.8746,8.2196
ga,hfvrp_n150_m30_s01,48,87493.1213,51396.4228,15.1742
ga,hfvrp_n150_m30_s02,48,79234.9800,44871.1106,15.2954
ga,hfvrp_n150_m30_s03,48,81732.7008,45792.6917,15.1306
ga,hfvrp_n150_m30_s04,48,89512.2469,53645.4817,15.1137
ga,hfvrp_n150_m30_s05,48,71431.4690,41672.2463,15.0909
ga,hfvrp_n200_m40_s01,48,126753.7407,75213.6168,27.4845
ga,hfvrp_n200_m40_s02,48,122582.1172,75922.5948,27.5297
ga,hfvrp_n200_m40_s03,48,152567.3743,90997.9181,27.1310
ga,hfvrp_n200_m40_s04,48,116925.5894,72875.6727,27.7714
ga,hfvrp_n200_m40_s05,48,120500.2685,70017.4076,27.3283
ga,pyvrp_X101_FSMFD,48,4253722.7304,398690.4103,8.5074
ga,pyvrp_X106_FSMD,48,4327575.8285,505006.7989,8.1178
ga,pyvrp_X110_HD,48,2603943.5751,496048.8472,8.4574
ga,pyvrp_X115_HVRP,2,2437052.2315,58513.0547,9.5979
ga,pyvrp_X120_FSMF,48,3659134.6154,368654.3463,8.6544
savings,augerat_A_n32_k5,1,11760.5492,0,0.0002
savings,augerat_A_n37_k5,1,9961.1344,0,0.0003
savings,augerat_A_n45_k6,1,13408.2606,0,0.0002
savings,augerat_A_n54_k7,1,18830.8006,0,0.0003
savings,augerat_A_n60_k9,1,20200.8296,0,0.0002
savings,augerat_A_n80_k10,1,26214.5557,0,0.0010
savings,ex1_1v_feasible,1,184.1421,0,0.0000
savings,ex3_3v_all_feasible,1,202.0000,0,0.0000
savings,ex5_3v_one_used_feasible,1,215.7990,0,0.0000
savings,hfvrp_n001_m03_s01,1,424.0100,0,0.0000
savings,hfvrp_n001_m03_s02,1,257.4028,0,0.0000
savings,hfvrp_n001_m03_s03,1,130.4387,0,0.0000
savings,hfvrp_n001_m03_s04,1,122.3868,0,0.0000
savings,hfvrp_n001_m03_s05,1,158.1951,0,0.0000
savings,hfvrp_n002_m03_s01,1,1198.8680,0,0.0000
savings,hfvrp_n002_m03_s02,1,221.7195,0,0.0000
savings,hfvrp_n002_m03_s03,1,235.9858,0,0.0000
savings,hfvrp_n002_m03_s04,1,245.8310,0,0.0000
savings,hfvrp_n002_m03_s05,1,935.2981,0,0.0000
savings,hfvrp_n005_m03_s01,1,641.3516,0,0.0000
