method,instance,runs,cost_mean,cost_std,runtime_mean
tabu,hfvrp_n050_m10_s02,12,3655.4363,0.0000,0.5944
tabu,hfvrp_n050_m10_s03,12,3401.8526,0.0000,0.2594
tabu,hfvrp_n050_m10_s04,12,3642.5177,0.0000,0.2692
tabu,hfvrp_n050_m10_s05,12,3560.5012,0.0000,0.3418
tabu,hfvrp_n075_m15_s01,12,4805.6939,0.0000,1.0492
tabu,hfvrp_n075_m15_s02,12,5919.2278,0.0000,1.6788
tabu,hfvrp_n075_m15_s03,12,6424.8658,0.0000,0.8077
tabu,hfvrp_n075_m15_s04,12,6369.2426,0.0000,0.9115
tabu,hfvrp_n075_m15_s05,12,5591.4575,0.0000,1.0313
tabu,hfvrp_n100_m20_s01,12,9519.2182,0.0000,1.7548
tabu,hfvrp_n100_m20_s02,12,8769.2082,0.0000,2.3666
tabu,hfvrp_n100_m20_s03,12,8995.1860,0.0000,2.4880
tabu,hfvrp_n100_m20_s04,12,9424.6208,0.0000,1.8800
tabu,hfvrp_n100_m20_s05,12,8351.5019,0.0000,3.4776
tabu,hfvrp_n150_m30_s01,12,14427.5077,0.0000,8.5261
tabu,hfvrp_n150_m30_s02,12,13405.3919,0.0000,17.9443
tabu,hfvrp_n150_m30_s03,12,15383.6748,0.0000,7.2591
tabu,hfvrp_n150_m30_s04,12,15161.0134,0.0000,8.5858
tabu,hfvrp_n150_m30_s05,12,13605.4249,0.0000,8.9755
tabu,hfvrp_n200_m40_s01,12,21445.3324,0.0000,31.0345
tabu,hfvrp_n200_m40_s02,12,21300.9681,0.0000,36.6254
tabu,hfvrp_n200_m40_s03,12,22913.1326,0.0000,30.0094
tabu,hfvrp_n200_m40_s04,12,23121.9431,0.0000,29.1703
tabu,hfvrp_n200_m40_s05,12,22097.1324,0.0000,38.0310
tabu,pyvrp_X101_FSMFD,12,3675802.5103,0.0000,3.5113
tabu,pyvrp_X106_FSMD,12,3730005.3521,0.0000,2.5412
tabu,pyvrp_X110_HD,12,1903868.9961,0.0000,2.6576
tabu,pyvrp_X120_FSMF,12,3207644.2232,0.0000,1.7941
