method,variant,instance,N,exact_status,exact_optimal,exact_cost,method_cost_mean,method_cost_best,delta_mean,delta_best,gap_mean_pct,gap_best_pct,runtime_mean
ga,SMALL,hfvrp_n030_m06_s03,30,time_limit,0,1681.4655,2198.6118,1906.5693,517.1463,225.1038,30.7557,13.3874,0.0144
ga,SMALL,hfvrp_n030_m06_s04,30,mem_limit,0,1692.7066,2399.4169,2275.2446,706.7103,582.5380,41.7503,34.4146,0.0123
ga,SMALL,hfvrp_n030_m06_s05,30,time_limit,0,1679.0015,2374.8797,2079.6126,695.8782,400.6111,41.4460,23.8601,0.0138
ga,SMALL,hfvrp_n050_m10_s01,50,mem_limit,0,3781.9886,5654.7352,5271.1077,1872.7465,1489.1190,49.5175,39.3740,0.0239
ga,SMALL,hfvrp_n050_m10_s02,50,mem_limit,0,4610.8568,6919.1108,5796.5837,2308.2539,1185.7268,50.0613,25.7160,0.0242
ga,SMALL,hfvrp_n050_m10_s03,50,time_limit,0,3555.9715,6080.5966,5518.2429,2524.6251,1962.2714,70.9968,55.1824,0.0240
ga,SMALL,hfvrp_n050_m10_s04,50,mem_limit,0,3503.1811,5989.0326,5461.4318,2485.8514,1958.2506,70.9598,55.8992,0.0248
ga,SMALL,hfvrp_n050_m10_s05,50,mem_limit,0,4407.8052,6142.5799,5258.7154,1734.7748,850.9103,39.3569,19.3046,0.0229
ga,SMALL,hfvrp_n075_m15_s01,75,mem_limit,0,6362.8505,9405.2284,8148.5053,3042.3779,1785.6549,47.8147,28.0638,0.0369
ga,SMALL,hfvrp_n075_m15_s03,75,time_limit,0,8550.8785,12475.2479,11412.7669,3924.3694,2861.8884,45.8943,33.4689,0.0368
ga,SMALL,hfvrp_n075_m15_s04,75,mem_limit,0,7312.6423,12666.5852,11333.1479,5353.9429,4020.5056,73.2149,54.9802,0.0391
ga,SMALL,hfvrp_n075_m15_s05,75,time_limit,0,8668.6069,10627.2019,9199.6040,1958.5950,530.9971,22.5941,6.1255,0.0373
ga,SMALL,hfvrp_n100_m20_s03,100,time_limit,0,13090.2577,19392.8844,16339.2541,6302.6267,3248.9963,48.1475,24.8200,0.0546
ga,SMALL,hfvrp_n100_m20_s04,100,time_limit,0,11478.9947,19837.7061,18619.7827,8358.7114,7140.7880,72.8175,62.2074,0.0592
ga,SMALL,hfvrp_n100_m20_s05,100,time_limit,0,12737.2241,20356.7473,18588.7519,7619.5232,5851.5278,59.8209,45.9404,0.0581
savings,,augerat_A_n32_k5,31,mem_limit,0,6764.4224,8693.1500,8693.1500,1928.7276,1928.7276,28.5128,28.5128,0.0002
savings,,augerat_A_n37_k5,36,time_limit,0,6225.2615,8352.3226,8352.3226,2127.0612,2127.0612,34.1682,34.1682,0.0001
savings,,augerat_A_n45_k6,44,mem_limit,0,10679.9367,11620.9706,11620.9706,941.0339,941.0339,8.8112,8.8112,0.0002
savings,,augerat_A_n54_k7,53,time_limit,0,12760.8000,13951.4930,13951.4930,1190.6930,1190.6930,9.3309,9.3309,0.0004
savings,,augerat_A_n60_k9,59,time_limit,0,15088.8010,15733.5647,15733.5647,644.7637,644.7637,4.2731,4.2731,0.0005
savings,,augerat_A_n80_k10,79,time_limit,0,20194.6107,18339.4408,18339.4408,-1855.1699,-1855.1699,-9.1865,-9.1865,0.0011
savings,,ex1_1v_feasible,2,optimal,1,96.6421,96.6421,96.6421,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,ex3_3v_all_feasible,3,optimal,1,167.0000,167.0000,167.0000,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,ex5_3v_one_used_feasible,3,optimal,1,128.2990,128.2990,128.2990,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n001_m03_s01,1,optimal,1,129.4194,129.4194,129.4194,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n001_m03_s02,1,optimal,1,168.9472,168.9472,168.9472,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n001_m03_s03,1,optimal,1,130.4387,130.4387,130.4387,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n001_m03_s04,1,optimal,1,122.3868,122.3868,122.3868,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n001_m03_s05,1,optimal,1,97.7347,97.7347,97.7347,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n002_m03_s01,2,optimal,1,379.8548,379.8548,379.8548,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n002_m03_s02,2,optimal,1,149.3690,149.3690,149.3690,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n002_m03_s03,2,optimal,1,191.6438,191.6438,191.6438,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n002_m03_s04,2,optimal,1,183.4134,183.8014,183.8014,0.3880,0.3880,0.2116,0.2116,0.0000
savings,,hfvrp_n002_m03_s05,2,optimal,1,297.7926,381.7497,381.7497,83.9570,83.9570,28.1931,28.1931,0.0000
savings,,hfvrp_n005_m03_s01,5,optimal,1,386.6674,386.6674,386.6674,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n005_m03_s02,5,optimal,1,402.6410,433.5826,433.5826,30.9416,30.9416,7.6847,7.6847,0.0000
savings,,hfvrp_n005_m03_s03,5,optimal,1,444.7348,461.8449,461.8449,17.1101,17.1101,3.8473,3.8473,0.0000
savings,,hfvrp_n005_m03_s04,5,optimal,1,350.4459,395.5390,395.5390,45.0931,45.0931,12.8674,12.8674,0.0000
savings,,hfvrp_n005_m03_s05,5,optimal,1,428.9074,485.0128,485.0128,56.1054,56.1054,13.0810,13.0810,0.0000
savings,,hfvrp_n010_m03_s01,10,optimal,1,583.3964,651.1283,651.1283,67.7318,67.7318,11.6099,11.6099,0.0000
savings,,hfvrp_n010_m03_s02,10,optimal,1,621.1946,744.0135,744.0135,122.8188,122.8188,19.7714,19.7714,0.0000
savings,,hfvrp_n010_m03_s03,10,optimal,1,725.6380,744.6904,744.6904,19.0524,19.0524,2.6256,2.6256,0.0000
savings,,hfvrp_n010_m03_s04,10,optimal,1,655.7316,752.5984,752.5984,96.8669,96.8669,14.7723,14.7723,0.0000
savings,,hfvrp_n010_m03_s05,10,optimal,1,645.7612,645.7612,645.7612,0.0000,0.0000,0.0000,0.0000,0.0000
savings,,hfvrp_n015_m03_s01,15,optimal,1,896.1105,1322.5846,1322.5846,426.4741,426.4741,47.5917,47.5917,0.0001
savings,,hfvrp_n015_m03_s02,15,optimal,1,889.5634,1147.5503,1147.5503,257.9869,257.9869,29.0015,29.0015,0.0000
savings,,hfvrp_n015_m03_s03,15,optimal,1,663.0746,780.6358,780.6358,117.5612,117.5612,17.7297,17.7297,0.0001
savings,,hfvrp_n015_m03_s04,15,time_limit,0,1164.8686,1894.5419,1894.5419,729.6733,729.6733,62.6400,62.6400,0.0001
savings,,hfvrp_n015_m03_s05,15,optimal,1,817.5518,909.4788,909.4788,91.9269,91.9269,11.2442,11.2442,0.0001
savings,,hfvrp_n020_m04_s01,20,time_limit,0,979.1195,1201.1502,1201.1502,222.0308,222.0308,22.6766,22.6766,0.0002
savings,,hfvrp_n020_m04_s02,20,time_limit,0,984.3551,1131.5862,1131.5862,147.2311,147.2311,14.9571,14.9571,0.0001
savings,,hfvrp_n020_m04_s03,20,time_limit,0,1158.4094,1750.2136,1750.2136,591.8042,591.8042,51.0877,51.0877,0.0001
savings,,hfvrp_n020_m04_s04,20,time_limit,0,1118.1304,1613.0906,1613.0906,494.9602,494.9602,44.2668,44.2668,0.0001
savings,,hfvrp_n020_m04_s05,20,time_limit,0,1104.1577,1633.6980,1633.6980,529.5403,529.5403,47.9588,47.9588,0.0001
savings,,hfvrp_n030_m06_s01,30,mem_limit,0,2028.9442,2429.1429,2429.1429,400.1987,400.1987,19.7245,19.7245,0.0004
savings,,hfvrp_n030_m06_s02,30,mem_limit,0,1743.1397,2147.6997,2147.6997,404.5600,404.5600,23.2087,23.2087,0.0002
savings,,hfvrp_n030_m06_s03,30,time_limit,0,1681.4655,2003.6322,2003.6322,322.1667,322.1667,19.1599,19.1599,0.0006
savings,,hfvrp_n030_m06_s04,30,mem_limit,0,1692.7066,1918.8727,1918.8727,226.1661,226.1661,13.3612,13.3612,0.0001
savings,,hfvrp_n030_m06_s05,30,time_limit,0,1679.0015,2139.3102,2139.3102,460.3087,460.3087,27.4156,27.4156,0.0001
savings,,hfvrp_n050_m10_s01,50,mem_limit,0,3781.9886,5000.4358,5000.4358,1218.4472,1218.4472,32.2171,32.2171,0.0026
savings,,hfvrp_n050_m10_s02,50,mem_limit,0,4610.8568,5797.3780,5797.3780,1186.5212,1186.5212,25.7332,25.7332,0.0012
savings,,hfvrp_n050_m10_s03,50,time_limit,0,3555.9715,5730.1541,5730.1541,2174.1826,2174.1826,61.1417,61.1417,0.0010
